question,answer,source,category
고백할까?,"오, 설레겠다. 어떤 사람이야?",custom_smalltalk,love
지루해,그럼 우리 주제 하나 정해서 이야기해보자.,custom_smalltalk,bored
나 좋아하는 사람 생겼어,상대와 편하게 이야기할 기회를 만들어보자.,custom_smalltalk,love
안녕 반가워,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
ㅎㅇ,안녕! 반가워.,custom_smalltalk,greeting
잘했다고 해줘,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
행복해,뿌듯한 하루였구나. 고생했어.,custom_smalltalk,mood_good
맞지?,괜찮아 보여. 다만 조금 더 생각해봐도 좋겠어.,custom_smalltalk,agreement
햇빛 좋다,더운 날엔 물 잘 챙겨 마셔야 해.,custom_smalltalk,weather
너는 뭐야?,"나는 아직 배우는 중이지만, 편하게 이야기 나눌 수 있어.",custom_smalltalk,self_intro
나 왔어,반가워! 뭐든 편하게 말해도 돼.,custom_smalltalk,greeting
화나,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
오늘 좋은 일 있었어,좋다! 그런 날은 오래 기억해두자.,custom_smalltalk,mood_good
재밌는 얘기 해줘,좋아. 내가 들어줄게.,custom_smalltalk,bored
오늘 좋은 일 있었어,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
밥 먹었어?,오늘은 부담 없는 메뉴가 좋을 것 같아.,custom_smalltalk,food
괜히 그랬어,사과는 빠르고 솔직할수록 좋아.,custom_smalltalk,apology
불면증 같아,잠이 부족하면 작은 일도 크게 느껴질 수 있어.,custom_smalltalk,sleep
나 잘했지?,충분히 칭찬받을 만해.,custom_smalltalk,compliment_user
어때 보여?,"응, 그렇게 생각할 수도 있어.",custom_smalltalk,agreement
바이,좋아. 좋은 하루 보내.,custom_smalltalk,bye
잠이 안 와,오늘은 무리하지 말고 몸을 먼저 챙기자.,custom_smalltalk,sleep
맛있는 거 먹고 싶다,커피도 좋지만 물도 같이 마셔줘.,custom_smalltalk,food
힘들어,괜찮아. 천천히 말해줘. 내가 들어줄게.,custom_smalltalk,mood_bad
일이 너무 많아,일단 10분만 시작해보는 건 어때?,custom_smalltalk,study_work
그냥,딱히 할 말이 없어도 괜찮아.,custom_smalltalk,fallback
취미 추천해줘,노래 들으면서 기분 전환하는 것도 괜찮지.,custom_smalltalk,hobby
오늘 뿌듯해,그 기분 그대로 이어졌으면 좋겠다.,custom_smalltalk,mood_good
외로워,속상한 일이 있었나 보네. 무슨 일이었어?,custom_smalltalk,mood_bad
오늘 하루 어땠어?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
컨디션 어때?,좋아. 오늘은 어떤 이야기를 하고 싶어?,custom_smalltalk,how_are_you
수고해,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
미안해,미안하다고 느꼈다면 진심을 담아 말해보는 게 좋아.,custom_smalltalk,apology
기분 최고야,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
안녕하세요,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
힘들어,속상한 일이 있었나 보네. 무슨 일이었어?,custom_smalltalk,mood_bad
너는 뭐야?,나는 네 말을 듣고 자연스럽게 답하려고 학습 중인 챗봇이야.,custom_smalltalk,self_intro
음,괜찮아. 천천히 생각해도 돼.,custom_smalltalk,fallback
아,생각나는 만큼만 말해줘.,custom_smalltalk,fallback
야 안녕,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
졸려,잠이 안 올 땐 화면을 잠시 내려놓는 것도 도움이 돼.,custom_smalltalk,sleep
할 거 있어?,좋아. 잠깐 같이 이야기하자.,custom_smalltalk,what_doing
우울해,괜찮아. 천천히 말해줘. 내가 들어줄게.,custom_smalltalk,mood_bad
야 안녕,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
너무 더워,습하면 더 지치니까 무리하지 마.,custom_smalltalk,weather
귀찮아,너무 부담되면 쉬운 것부터 처리해보자.,custom_smalltalk,study_work
할 거 있어?,대화할 준비 됐어. 무슨 이야기할까?,custom_smalltalk,what_doing
음,그럼 가볍게 오늘 있었던 일부터 말해볼까?,custom_smalltalk,fallback
수고해,편히 쉬어. 또 와줘.,custom_smalltalk,bye
bye,편히 쉬어. 또 와줘.,custom_smalltalk,bye
영화 볼까?,게임도 좋지만 너무 오래 하진 말자.,custom_smalltalk,hobby
나 오늘 기분 좋아,뿌듯한 하루였구나. 고생했어.,custom_smalltalk,mood_good
시간이 안 가,심심할 땐 아무 말 대잔치도 괜찮아.,custom_smalltalk,bored
좋은 하루였어,그 기분 그대로 이어졌으면 좋겠다.,custom_smalltalk,mood_good
사람들이랑 어울리기 힘들어,상대의 마음을 단정하기 전에 천천히 이야기해보는 것도 좋아.,custom_smalltalk,relationship
그렇지?,괜찮아 보여. 다만 조금 더 생각해봐도 좋겠어.,custom_smalltalk,agreement
잠 못 잤어,많이 피곤하겠다. 가능하면 잠깐이라도 쉬어.,custom_smalltalk,sleep
지루해,그럼 나랑 잠깐 수다 떨자.,custom_smalltalk,bored
자고 싶어,따뜻한 물 마시고 조용히 쉬어보는 것도 좋아.,custom_smalltalk,sleep
잘 들어줘서 고마워,도움이 됐다니 기뻐.,custom_smalltalk,thanks
오늘 뿌듯해,잘됐다. 어떤 좋은 일이 있었어?,custom_smalltalk,mood_good
나 오늘 기분 좋아,듣기만 해도 나까지 기분 좋아진다.,custom_smalltalk,mood_good
뭐 재미있는 거 없을까?,그럼 지금 떠오르는 생각부터 말해줘.,custom_smalltalk,bored
비 와,습하면 더 지치니까 무리하지 마.,custom_smalltalk,weather
나 이번에 잘한 것 같아,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
취미 추천해줘,가볍게 시작하려면 산책이나 음악 듣기부터 좋아.,custom_smalltalk,hobby
날씨가 흐려,날씨 좋은 날은 잠깐 산책해도 좋겠다.,custom_smalltalk,weather
게임할까?,가볍게 시작하려면 산책이나 음악 듣기부터 좋아.,custom_smalltalk,hobby
나 좀 대단하지?,해냈다는 게 정말 중요해. 멋지다.,custom_smalltalk,compliment_user
짝사랑 중이야,"오, 설레겠다. 어떤 사람이야?",custom_smalltalk,love
햇빛 좋다,습하면 더 지치니까 무리하지 마.,custom_smalltalk,weather
수고해,잘 쉬고 다음에 또 이야기하자.,custom_smalltalk,bye
친구가 서운하게 해,네가 느낀 감정은 충분히 말해볼 만해.,custom_smalltalk,relationship
일하기 싫어,너무 부담되면 쉬운 것부터 처리해보자.,custom_smalltalk,study_work
글쎄,생각나는 만큼만 말해줘.,custom_smalltalk,fallback
반가워,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
고마워,고맙다고 말해줘서 나도 좋아.,custom_smalltalk,thanks
나 성공했어,그 정도면 충분히 멋진 일이야.,custom_smalltalk,compliment_user
처음 만나,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
오랜만이야,안녕. 오늘 하루는 어땠어?,custom_smalltalk,greeting
재밌는 얘기 해줘,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
너 누구야?,나는 한국어 대화를 연습하는 챗봇이야.,custom_smalltalk,self_intro
습해,눈 오는 날은 조심히 다녀야 해.,custom_smalltalk,weather
hello,반가워! 뭐든 편하게 말해도 돼.,custom_smalltalk,greeting
나 오늘 열심히 했어,잘했다고 말해주고 싶어. 수고했어.,custom_smalltalk,compliment_user
놀아줘,그럼 지금 떠오르는 생각부터 말해줘.,custom_smalltalk,bored
일하기 싫어,미루고 싶을 때는 딱 한 문제만 해보는 것도 방법이야.,custom_smalltalk,study_work
날씨 왜 이래,더운 날엔 물 잘 챙겨 마셔야 해.,custom_smalltalk,weather
주말에 뭐하지?,"지금 에너지가 있으면 운동, 쉬고 싶으면 영화도 괜찮아.",custom_smalltalk,hobby
미안,괜찮아질 수 있어. 하나씩 정리해보자.,custom_smalltalk,apology
요즘 어때?,좋아. 오늘은 어떤 이야기를 하고 싶어?,custom_smalltalk,how_are_you
지루해,좋아. 내가 들어줄게.,custom_smalltalk,bored
데이트 뭐하지?,데이트는 서로 편한 걸 고르는 게 좋아.,custom_smalltalk,love
나 노력했어,충분히 칭찬받을 만해.,custom_smalltalk,compliment_user
해야 할 게 많아,일단 10분만 시작해보는 건 어때?,custom_smalltalk,study_work
오늘 어때?,괜찮게 지냈어. 오늘 너는 어땠어?,custom_smalltalk,how_are_you
너 누구야?,나는 너랑 대화하기 위해 만들어진 작은 한국어 챗봇이야.,custom_smalltalk,self_intro
일어나기 힘들어,잠이 부족하면 작은 일도 크게 느껴질 수 있어.,custom_smalltalk,sleep
처음 만나,안녕. 오늘 하루는 어땠어?,custom_smalltalk,greeting
게임할까?,게임도 좋지만 너무 오래 하진 말자.,custom_smalltalk,hobby
괜찮아?,좋아. 오늘은 어떤 이야기를 하고 싶어?,custom_smalltalk,how_are_you
뭐 하고 놀까?,"지금 에너지가 있으면 운동, 쉬고 싶으면 영화도 괜찮아.",custom_smalltalk,hobby
컨디션 어때?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
답답해,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
뭐 하고 놀까?,새 취미는 부담 없이 짧게 해볼 수 있는 게 좋아.,custom_smalltalk,hobby
속상해,힘든 하루였구나. 여기서는 편하게 말해도 돼.,custom_smalltalk,mood_bad
이제 자야겠다,수고했어. 다음에 또 보자.,custom_smalltalk,bye
그냥,생각나는 만큼만 말해줘.,custom_smalltalk,fallback
나 좀 대단하지?,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
힘들어,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
주말에 뭐하지?,새 취미는 부담 없이 짧게 해볼 수 있는 게 좋아.,custom_smalltalk,hobby
나 좀 대단하지?,오늘의 너는 꽤 자랑스러워해도 돼.,custom_smalltalk,compliment_user
친구랑 싸웠어,관계 문제는 마음이 많이 쓰이지.,custom_smalltalk,relationship
좋은 저녁,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
미안해,괜찮아질 수 있어. 하나씩 정리해보자.,custom_smalltalk,apology
과제 해야 돼,완벽하게 하려 하지 말고 시작부터 해보자.,custom_smalltalk,study_work
할 거 없어,그럼 지금 떠오르는 생각부터 말해줘.,custom_smalltalk,bored
지금 이야기할 수 있어?,바쁘지 않아. 편하게 말해줘.,custom_smalltalk,what_doing
너 정체가 뭐야?,나는 한국어 대화를 연습하는 챗봇이야.,custom_smalltalk,self_intro
안녕 반가워,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
밥 먹었어?,지금 기분에는 따뜻한 음식도 괜찮겠다.,custom_smalltalk,food
오늘 운이 좋았어,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
잘 지냈어?,괜찮게 지냈어. 오늘 너는 어땠어?,custom_smalltalk,how_are_you
결정 못 하겠어,후회가 적을 선택을 기준으로 골라보자.,custom_smalltalk,choice
심심해서 왔어,심심할 땐 아무 말 대잔치도 괜찮아.,custom_smalltalk,bored
오늘 날씨 좋다,흐린 날엔 실내에서 쉬는 것도 좋지.,custom_smalltalk,weather
대화 가능해?,대화할 준비 됐어. 무슨 이야기할까?,custom_smalltalk,what_doing
너무 더워,눈 오는 날은 조심히 다녀야 해.,custom_smalltalk,weather
너는 어떤 챗봇이야?,나는 네 말을 듣고 자연스럽게 답하려고 학습 중인 챗봇이야.,custom_smalltalk,self_intro
답답해,속상한 일이 있었나 보네. 무슨 일이었어?,custom_smalltalk,mood_bad
화나,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
시간 있어?,지금은 네 이야기를 들을 준비를 하고 있어.,custom_smalltalk,what_doing
날씨 왜 이래,흐린 날엔 실내에서 쉬는 것도 좋지.,custom_smalltalk,weather
별일 없었어?,"응, 잘 지냈어. 너는 어떻게 지냈어?",custom_smalltalk,how_are_you
기분은 어때?,좋아. 오늘은 어떤 이야기를 하고 싶어?,custom_smalltalk,how_are_you
사과해야 할까?,미안하다고 느꼈다면 진심을 담아 말해보는 게 좋아.,custom_smalltalk,apology
자기소개 해봐,나는 한국어 대화를 연습하는 챗봇이야.,custom_smalltalk,self_intro
답답해,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
너무 더워,더운 날엔 물 잘 챙겨 마셔야 해.,custom_smalltalk,weather
불면증 같아,따뜻한 물 마시고 조용히 쉬어보는 것도 좋아.,custom_smalltalk,sleep
너는 사람 아니지?,나는 한국어 대화를 연습하는 챗봇이야.,custom_smalltalk,self_intro
오늘 좋은 일 있었어,듣기만 해도 나까지 기분 좋아진다.,custom_smalltalk,mood_good
골라줘,후회가 적을 선택을 기준으로 골라보자.,custom_smalltalk,choice
오랜만이야,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
우울해,그랬구나. 오늘 많이 지쳤겠다.,custom_smalltalk,mood_bad
날씨가 흐려,그런 날씨면 기분도 조금 달라지지.,custom_smalltalk,weather
밤샜어,밤샜으면 컨디션이 흔들릴 수 있어. 천천히 움직여.,custom_smalltalk,sleep
잘했다고 해줘,그 정도면 충분히 멋진 일이야.,custom_smalltalk,compliment_user
습해,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
땡큐,그렇게 말해주니까 나도 기분 좋다.,custom_smalltalk,thanks
잘 지냈어?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
뭐 하고 놀까?,게임도 좋지만 너무 오래 하진 말자.,custom_smalltalk,hobby
아무거나,괜찮아. 천천히 생각해도 돼.,custom_smalltalk,fallback
밥 먹었어?,커피도 좋지만 물도 같이 마셔줘.,custom_smalltalk,food
할 거 있어?,너랑 이야기하려고 기다리고 있었어.,custom_smalltalk,what_doing
맛있는 거 먹고 싶다,밥은 잘 챙겨 먹어야 해. 오늘은 뭐 먹고 싶어?,custom_smalltalk,food
나 갈게,잘 쉬고 다음에 또 이야기하자.,custom_smalltalk,bye
뭐 재미있는 거 없을까?,그럼 나랑 잠깐 수다 떨자.,custom_smalltalk,bored
시간이 안 가,그럼 가볍게 질문 하나 할게. 오늘 제일 좋았던 순간은 뭐야?,custom_smalltalk,bored
둘 중에 뭐 골라?,후회가 적을 선택을 기준으로 골라보자.,custom_smalltalk,choice
공부해야 하는데 하기 싫어,집중이 안 되면 할 일을 적어보는 것부터 시작해보자.,custom_smalltalk,study_work
몰라,그럼 가볍게 오늘 있었던 일부터 말해볼까?,custom_smalltalk,fallback
친구랑 싸웠어,혼자라고 느껴질 때 정말 외롭지.,custom_smalltalk,relationship
누가 나 싫어하는 것 같아,혼자라고 느껴질 때 정말 외롭지.,custom_smalltalk,relationship
공부해야 하는데 하기 싫어,너무 부담되면 쉬운 것부터 처리해보자.,custom_smalltalk,study_work
고마워 진짜,언제든 편하게 말해줘.,custom_smalltalk,thanks
몰라,괜찮아. 천천히 생각해도 돼.,custom_smalltalk,fallback
나 좀 대단하지?,노력한 게 느껴져. 정말 잘했어.,custom_smalltalk,compliment_user
데이트 뭐하지?,썸 같으면 작은 관심들이 더 크게 느껴지지.,custom_smalltalk,love
늦게 잤어,따뜻한 물 마시고 조용히 쉬어보는 것도 좋아.,custom_smalltalk,sleep
그런가,괜찮아. 천천히 생각해도 돼.,custom_smalltalk,fallback
그 사람이 자꾸 생각나,데이트는 서로 편한 걸 고르는 게 좋아.,custom_smalltalk,love
해야 할 게 많아,집중이 안 되면 할 일을 적어보는 것부터 시작해보자.,custom_smalltalk,study_work
기분은 어때?,나는 준비 완료야. 네 이야기도 들려줘.,custom_smalltalk,how_are_you
집중이 안 돼,집중이 안 되면 할 일을 적어보는 것부터 시작해보자.,custom_smalltalk,study_work
오늘 하루 어땠어?,나는 준비 완료야. 네 이야기도 들려줘.,custom_smalltalk,how_are_you
오늘 날씨 좋다,습하면 더 지치니까 무리하지 마.,custom_smalltalk,weather
추천해줘,급하지 않으면 조금 더 생각해봐도 괜찮아.,custom_smalltalk,choice
시간이 안 가,그럼 지금 떠오르는 생각부터 말해줘.,custom_smalltalk,bored
처음 만나,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
너 소개해줘,"나는 아직 배우는 중이지만, 편하게 이야기 나눌 수 있어.",custom_smalltalk,self_intro
바람 많이 불어,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
나 칭찬받았어,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
비 와,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
날씨가 흐려,습하면 더 지치니까 무리하지 마.,custom_smalltalk,weather
늦게 잤어,밤샜으면 컨디션이 흔들릴 수 있어. 천천히 움직여.,custom_smalltalk,sleep
친구가 보고 싶어,네가 느낀 감정은 충분히 말해볼 만해.,custom_smalltalk,relationship
심심해서 왔어,좋아. 내가 들어줄게.,custom_smalltalk,bored
나랑 놀래?,지금은 네 이야기를 들을 준비를 하고 있어.,custom_smalltalk,what_doing
날씨 왜 이래,비 오는 날은 괜히 차분해지는 것 같아.,custom_smalltalk,weather
사과해야 할까?,너무 자책하지 말고 지금 할 수 있는 걸 생각해보자.,custom_smalltalk,apology
배고파,너무 늦지 않았다면 간단히 먹는 것도 좋아.,custom_smalltalk,food
뭐 먹지?,간식은 적당히 먹으면 기분 전환에 좋지.,custom_smalltalk,food
bye,잘 쉬고 다음에 또 이야기하자.,custom_smalltalk,bye
어떻게 하지?,지금 네가 더 마음이 가는 쪽은 어느 쪽이야?,custom_smalltalk,choice
이제 자야겠다,편히 쉬어. 또 와줘.,custom_smalltalk,bye
이만 갈게,오늘 이야기 즐거웠어.,custom_smalltalk,bye
미안,잘못을 인정하는 것도 용기야.,custom_smalltalk,apology
좋은 저녁,반가워! 뭐든 편하게 말해도 돼.,custom_smalltalk,greeting
운동해야 하나?,노래 들으면서 기분 전환하는 것도 괜찮지.,custom_smalltalk,hobby
내가 잘못했어,미안하다고 느꼈다면 진심을 담아 말해보는 게 좋아.,custom_smalltalk,apology
안녕,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
이거 괜찮지?,괜찮아 보여. 다만 조금 더 생각해봐도 좋겠어.,custom_smalltalk,agreement
추천해줘,가장 부담이 적은 선택부터 해보는 것도 좋아.,custom_smalltalk,choice
둘 중에 뭐 골라?,네 상황을 조금 더 알려주면 같이 골라볼게.,custom_smalltalk,choice
너무 심심해,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
나 때문에 그런 것 같아,잘못을 인정하는 것도 용기야.,custom_smalltalk,apology
미루고 싶어,완벽하게 하려 하지 말고 시작부터 해보자.,custom_smalltalk,study_work
나 갈게,좋아. 좋은 하루 보내.,custom_smalltalk,bye
습해,비 오는 날은 괜히 차분해지는 것 같아.,custom_smalltalk,weather
시험 공부해야 돼,일단 10분만 시작해보는 건 어때?,custom_smalltalk,study_work
내가 이상한 거 아니지?,네 입장에서는 충분히 그렇게 느낄 만해.,custom_smalltalk,agreement
칭찬 받고 싶어,충분히 칭찬받을 만해.,custom_smalltalk,compliment_user
안녕하세요,안녕. 오늘 하루는 어땠어?,custom_smalltalk,greeting
안뇽,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
요즘 잘 지내?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
이제 자야겠다,좋아. 좋은 하루 보내.,custom_smalltalk,bye
야식 먹고 싶어,"뭐가 당기는지부터 생각해보자. 매운 거, 담백한 거, 달달한 거 중에 뭐가 좋아?",custom_smalltalk,food
사과해야 할까?,실수할 수 있어. 중요한 건 어떻게 수습하느냐야.,custom_smalltalk,apology
신난다,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
연애하고 싶어,고백은 네 마음이 준비됐을 때 천천히 해도 돼.,custom_smalltalk,love
잠이 부족해,잠이 부족하면 작은 일도 크게 느껴질 수 있어.,custom_smalltalk,sleep
좋은 저녁,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
커피 마실까?,"뭐가 당기는지부터 생각해보자. 매운 거, 담백한 거, 달달한 거 중에 뭐가 좋아?",custom_smalltalk,food
사람들이랑 어울리기 힘들어,관계는 어렵지만 네 마음도 중요해.,custom_smalltalk,relationship
감사해,천만에. 도움이 됐다면 다행이야.,custom_smalltalk,thanks
칭찬해줘,대단하지. 노력한 만큼 의미 있는 결과야.,custom_smalltalk,compliment_user
놀아줘,좋아. 오늘 있었던 일부터 이야기해볼까?,custom_smalltalk,bored
안녕하세요,안녕! 반가워.,custom_smalltalk,greeting
데이트 뭐하지?,상대와 편하게 이야기할 기회를 만들어보자.,custom_smalltalk,love
너는 어떤 챗봇이야?,나는 완벽하진 않지만 네 이야기를 들어줄 수 있어.,custom_smalltalk,self_intro
bye,수고했어. 다음에 또 보자.,custom_smalltalk,bye
시간이 안 가,좋아. 오늘 있었던 일부터 이야기해볼까?,custom_smalltalk,bored
기분은 어때?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
심심해,좋아. 오늘 있었던 일부터 이야기해볼까?,custom_smalltalk,bored
행복해,멋지다. 오늘의 기분을 마음껏 즐겨.,custom_smalltalk,mood_good
오랜만이야,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
울고 싶어,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
실수했어,사과는 빠르고 솔직할수록 좋아.,custom_smalltalk,apology
밤샜어,따뜻한 물 마시고 조용히 쉬어보는 것도 좋아.,custom_smalltalk,sleep
추천해줘,장단점을 하나씩 적어보면 결정이 쉬워질 수 있어.,custom_smalltalk,choice
잘가,오늘 이야기 즐거웠어.,custom_smalltalk,bye
과제 해야 돼,잠깐 쉬고 다시 시작해도 괜찮아.,custom_smalltalk,study_work
맛있는 거 먹고 싶다,오늘은 부담 없는 메뉴가 좋을 것 같아.,custom_smalltalk,food
고마워 진짜,고마워. 나도 네 이야기를 들을 수 있어서 좋아.,custom_smalltalk,thanks
딱히,생각나는 만큼만 말해줘.,custom_smalltalk,fallback
오늘 별로야,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
뭐해?,바쁘지 않아. 편하게 말해줘.,custom_smalltalk,what_doing
너랑 뭐 할 수 있어?,나는 한국어 대화를 연습하는 챗봇이야.,custom_smalltalk,self_intro
잠 못 잤어,밤샜으면 컨디션이 흔들릴 수 있어. 천천히 움직여.,custom_smalltalk,sleep
피곤해,많이 피곤하겠다. 가능하면 잠깐이라도 쉬어.,custom_smalltalk,sleep
안녕 반가워,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
반가워,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
잘 지냈니?,나는 괜찮아. 너는 요즘 어때?,custom_smalltalk,how_are_you
동의해?,네가 왜 그렇게 느꼈는지 알 것 같아.,custom_smalltalk,agreement
미안해,너무 자책하지 말고 지금 할 수 있는 걸 생각해보자.,custom_smalltalk,apology
고맙다,그렇게 말해주니까 나도 기분 좋다.,custom_smalltalk,thanks
뭐하니?,시간 있어. 어떤 이야기 하고 싶어?,custom_smalltalk,what_doing
뭐 하고 있어?,지금 너랑 수다 떨 수 있어.,custom_smalltalk,what_doing
화나,괜찮아. 천천히 말해줘. 내가 들어줄게.,custom_smalltalk,mood_bad
점심 뭐 먹을까?,지금 기분에는 따뜻한 음식도 괜찮겠다.,custom_smalltalk,food
뭘 해야 할지 모르겠어,장단점을 하나씩 적어보면 결정이 쉬워질 수 있어.,custom_smalltalk,choice
귀찮아,잠깐 쉬고 다시 시작해도 괜찮아.,custom_smalltalk,study_work
좋은 저녁,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
맞지?,"응, 그렇게 생각할 수도 있어.",custom_smalltalk,agreement
