question,answer,source,category
그렇지?,나는 네 생각을 이해해.,custom_smalltalk,agreement
나 칭찬받았어,좋은 일이 있었다니 다행이야. 더 자세히 말해줘.,custom_smalltalk,mood_good
반가워,안녕! 반가워.,custom_smalltalk,greeting
왔어,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
대화 가능해?,바쁘지 않아. 편하게 말해줘.,custom_smalltalk,what_doing
힘들어,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
뭐해?,지금은 네 이야기를 들을 준비를 하고 있어.,custom_smalltalk,what_doing
글쎄,말이 잘 안 나올 때도 있지.,custom_smalltalk,fallback
다음에 또 올게,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
별일 없었어?,나는 준비 완료야. 네 이야기도 들려줘.,custom_smalltalk,how_are_you
취미 추천해줘,주말엔 쉬는 시간도 일정에 넣어보자.,custom_smalltalk,hobby
연락이 안 와,상대의 마음을 단정하기 전에 천천히 이야기해보는 것도 좋아.,custom_smalltalk,relationship
친구랑 싸웠어,네가 느낀 감정은 충분히 말해볼 만해.,custom_smalltalk,relationship
바람 많이 불어,눈 오는 날은 조심히 다녀야 해.,custom_smalltalk,weather
날씨가 흐려,눈 오는 날은 조심히 다녀야 해.,custom_smalltalk,weather
뭐 먹지?,지금 기분에는 따뜻한 음식도 괜찮겠다.,custom_smalltalk,food
점심 뭐 먹을까?,간식은 적당히 먹으면 기분 전환에 좋지.,custom_smalltalk,food
아,그냥 있어도 괜찮아. 내가 옆에서 들어줄게.,custom_smalltalk,fallback
새 취미 갖고 싶어,책은 짧은 에세이나 만화부터 시작해도 좋아.,custom_smalltalk,hobby
마음이 복잡해,괜찮아. 천천히 말해줘. 내가 들어줄게.,custom_smalltalk,mood_bad
어떻게 하지?,네 상황을 조금 더 알려주면 같이 골라볼게.,custom_smalltalk,choice
나 해냈어,잘했다고 말해주고 싶어. 수고했어.,custom_smalltalk,compliment_user
감사해,괜찮아. 필요하면 또 같이 생각해보자.,custom_smalltalk,thanks
왔어,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
나 칭찬받았어,듣기만 해도 나까지 기분 좋아진다.,custom_smalltalk,mood_good
감사합니다,괜찮아. 필요하면 또 같이 생각해보자.,custom_smalltalk,thanks
늦게 잤어,오늘은 무리하지 말고 몸을 먼저 챙기자.,custom_smalltalk,sleep
좋은 저녁,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
과제 해야 돼,집중이 안 되면 할 일을 적어보는 것부터 시작해보자.,custom_smalltalk,study_work
너 정체가 뭐야?,나는 네 말을 듣고 자연스럽게 답하려고 학습 중인 챗봇이야.,custom_smalltalk,self_intro
미루고 싶어,너무 부담되면 쉬운 것부터 처리해보자.,custom_smalltalk,study_work
주말에 뭐하지?,게임도 좋지만 너무 오래 하진 말자.,custom_smalltalk,hobby
hello,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
기분 최고야,듣기만 해도 나까지 기분 좋아진다.,custom_smalltalk,mood_good
행복해,듣기만 해도 나까지 기분 좋아진다.,custom_smalltalk,mood_good
너 뭐하는 애야?,나는 네 말을 듣고 자연스럽게 답하려고 학습 중인 챗봇이야.,custom_smalltalk,self_intro
별일 없었어?,나는 좋아. 너도 잘 지냈으면 좋겠다.,custom_smalltalk,how_are_you
칭찬 받고 싶어,오늘의 너는 꽤 자랑스러워해도 돼.,custom_smalltalk,compliment_user
나랑 수다 떨자,좋아. 오늘 있었던 일부터 이야기해볼까?,custom_smalltalk,bored
마음이 복잡해,힘든 하루였구나. 여기서는 편하게 말해도 돼.,custom_smalltalk,mood_bad
뭐 재미있는 거 없을까?,심심할 땐 아무 말 대잔치도 괜찮아.,custom_smalltalk,bored
추천해줘,후회가 적을 선택을 기준으로 골라보자.,custom_smalltalk,choice
밥 먹었어?,간식은 적당히 먹으면 기분 전환에 좋지.,custom_smalltalk,food
그렇게 생각해?,"응, 그렇게 생각할 수도 있어.",custom_smalltalk,agreement
그런가,그냥 있어도 괜찮아. 내가 옆에서 들어줄게.,custom_smalltalk,fallback
야 안녕,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
일어나기 힘들어,잠이 안 올 땐 화면을 잠시 내려놓는 것도 도움이 돼.,custom_smalltalk,sleep
그런가,말이 잘 안 나올 때도 있지.,custom_smalltalk,fallback
나 잘했지?,잘했다고 말해주고 싶어. 수고했어.,custom_smalltalk,compliment_user
덕분이야,고맙다고 말해줘서 나도 좋아.,custom_smalltalk,thanks
요즘 어때?,나는 준비 완료야. 네 이야기도 들려줘.,custom_smalltalk,how_are_you
배고파,지금 기분에는 따뜻한 음식도 괜찮겠다.,custom_smalltalk,food
좋은 아침,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
좋아하는 사람이 있어,데이트는 서로 편한 걸 고르는 게 좋아.,custom_smalltalk,love
나 해냈어,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
지루해,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
안녕 반가워,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
왔어,안녕! 반가워.,custom_smalltalk,greeting
나 노력했어,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
둘 중에 뭐 골라?,급하지 않으면 조금 더 생각해봐도 괜찮아.,custom_smalltalk,choice
밥 먹었어?,배고프면 든든한 걸로 챙겨 먹자.,custom_smalltalk,food
이거 할까 말까?,장단점을 하나씩 적어보면 결정이 쉬워질 수 있어.,custom_smalltalk,choice
커피 마실까?,오늘은 부담 없는 메뉴가 좋을 것 같아.,custom_smalltalk,food
대화 가능해?,나는 여기 있어. 뭐 하고 있었어?,custom_smalltalk,what_doing
ㅎㅇ,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
너 뭐하는 애야?,나는 너랑 대화하기 위해 만들어진 작은 한국어 챗봇이야.,custom_smalltalk,self_intro
고마워 진짜,괜찮아. 필요하면 또 같이 생각해보자.,custom_smalltalk,thanks
친구가 보고 싶어,상대의 마음을 단정하기 전에 천천히 이야기해보는 것도 좋아.,custom_smalltalk,relationship
누가 나 싫어하는 것 같아,상대의 마음을 단정하기 전에 천천히 이야기해보는 것도 좋아.,custom_smalltalk,relationship
괜찮을까?,사과는 빠르고 솔직할수록 좋아.,custom_smalltalk,apology
너무 심심해,그럼 나랑 잠깐 수다 떨자.,custom_smalltalk,bored
잘 지냈나요?,좋아. 오늘은 어떤 이야기를 하고 싶어?,custom_smalltalk,how_are_you
사람 관계 어렵다,서운한 마음이 들 만했겠다.,custom_smalltalk,relationship
나랑 수다 떨자,심심할 땐 아무 말 대잔치도 괜찮아.,custom_smalltalk,bored
나중에 이야기하자,잘 가. 오늘도 고생했어.,custom_smalltalk,bye
게임할까?,새 취미는 부담 없이 짧게 해볼 수 있는 게 좋아.,custom_smalltalk,hobby
뭐 먹지?,"뭐가 당기는지부터 생각해보자. 매운 거, 담백한 거, 달달한 거 중에 뭐가 좋아?",custom_smalltalk,food
내가 잘못했어,괜찮아질 수 있어. 하나씩 정리해보자.,custom_smalltalk,apology
습해,그런 날씨면 기분도 조금 달라지지.,custom_smalltalk,weather
새 취미 갖고 싶어,노래 들으면서 기분 전환하는 것도 괜찮지.,custom_smalltalk,hobby
뭐가 나을까?,가장 부담이 적은 선택부터 해보는 것도 좋아.,custom_smalltalk,choice
너무 추워,날씨 좋은 날은 잠깐 산책해도 좋겠다.,custom_smalltalk,weather
도움 됐어,괜찮아. 필요하면 또 같이 생각해보자.,custom_smalltalk,thanks
잘 지냈어?,"응, 잘 지냈어. 너는 어떻게 지냈어?",custom_smalltalk,how_are_you
나 성공했어,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
바람 많이 불어,더운 날엔 물 잘 챙겨 마셔야 해.,custom_smalltalk,weather
영화 볼까?,새 취미는 부담 없이 짧게 해볼 수 있는 게 좋아.,custom_smalltalk,hobby
bye,잘 가. 오늘도 고생했어.,custom_smalltalk,bye
잘가,수고했어. 다음에 또 보자.,custom_smalltalk,bye
미루고 싶어,일단 10분만 시작해보는 건 어때?,custom_smalltalk,study_work
수고해,오늘 이야기 즐거웠어.,custom_smalltalk,bye
hello,안녕! 반가워.,custom_smalltalk,greeting
bye,오늘 이야기 즐거웠어.,custom_smalltalk,bye
할 거 없어,심심할 땐 아무 말 대잔치도 괜찮아.,custom_smalltalk,bored
괜히 그랬어,실수할 수 있어. 중요한 건 어떻게 수습하느냐야.,custom_smalltalk,apology
잘 있었어?,나는 준비 완료야. 네 이야기도 들려줘.,custom_smalltalk,how_are_you
좋아하는 사람이 있어,그 마음만으로도 하루가 달라질 때가 있지.,custom_smalltalk,love
나 오늘 기분 좋아,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
집중이 안 돼,해야 할 게 많을수록 하나씩 쪼개는 게 좋아.,custom_smalltalk,study_work
잘 있었어?,나는 좋아. 너도 잘 지냈으면 좋겠다.,custom_smalltalk,how_are_you
그렇지?,네 입장에서는 충분히 그렇게 느낄 만해.,custom_smalltalk,agreement
선택하기 어려워,장단점을 하나씩 적어보면 결정이 쉬워질 수 있어.,custom_smalltalk,choice
노래 듣고 싶어,책은 짧은 에세이나 만화부터 시작해도 좋아.,custom_smalltalk,hobby
다음에 또 올게,잘 쉬고 다음에 또 이야기하자.,custom_smalltalk,bye
둘 중에 뭐 골라?,지금 네가 더 마음이 가는 쪽은 어느 쪽이야?,custom_smalltalk,choice
bye,좋아. 좋은 하루 보내.,custom_smalltalk,bye
칭찬 받고 싶어,노력한 게 느껴져. 정말 잘했어.,custom_smalltalk,compliment_user
나 노력했어,해냈다는 게 정말 중요해. 멋지다.,custom_smalltalk,compliment_user
사람들이랑 어울리기 힘들어,혼자라고 느껴질 때 정말 외롭지.,custom_smalltalk,relationship
데이트 뭐하지?,"오, 설레겠다. 어떤 사람이야?",custom_smalltalk,love
햇빛 좋다,눈 오는 날은 조심히 다녀야 해.,custom_smalltalk,weather
나 오늘 기분 안 좋아,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
행복해,그 기분 그대로 이어졌으면 좋겠다.,custom_smalltalk,mood_good
안뇽,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
뭐 먹지?,오늘은 부담 없는 메뉴가 좋을 것 같아.,custom_smalltalk,food
안뇽,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
잠이 안 와,많이 피곤하겠다. 가능하면 잠깐이라도 쉬어.,custom_smalltalk,sleep
고백할까?,고백은 네 마음이 준비됐을 때 천천히 해도 돼.,custom_smalltalk,love
바이,잘 쉬고 다음에 또 이야기하자.,custom_smalltalk,bye
짝사랑 중이야,좋아하는 마음이 생겼구나. 그 사람의 어떤 점이 좋아?,custom_smalltalk,love
나 왔어,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
헬로,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
오늘 기분 어때?,괜찮게 지냈어. 오늘 너는 어땠어?,custom_smalltalk,how_are_you
피곤해,잠이 부족하면 작은 일도 크게 느껴질 수 있어.,custom_smalltalk,sleep
흠,생각나는 만큼만 말해줘.,custom_smalltalk,fallback
혼자인 것 같아,상대의 마음을 단정하기 전에 천천히 이야기해보는 것도 좋아.,custom_smalltalk,relationship
ㅎㅇ,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
요즘 잘 지내?,나는 준비 완료야. 네 이야기도 들려줘.,custom_smalltalk,how_are_you
내 말 맞지?,네 입장에서는 충분히 그렇게 느낄 만해.,custom_smalltalk,agreement
나중에 이야기하자,잘 쉬고 다음에 또 이야기하자.,custom_smalltalk,bye
요즘 어때?,나는 괜찮아. 너는 요즘 어때?,custom_smalltalk,how_are_you
고백할까?,썸 같으면 작은 관심들이 더 크게 느껴지지.,custom_smalltalk,love
맛있는 거 먹고 싶다,"뭐가 당기는지부터 생각해보자. 매운 거, 담백한 거, 달달한 거 중에 뭐가 좋아?",custom_smalltalk,food
요즘 기분이 어때?,나는 좋아. 너도 잘 지냈으면 좋겠다.,custom_smalltalk,how_are_you
미안,너무 자책하지 말고 지금 할 수 있는 걸 생각해보자.,custom_smalltalk,apology
기운이 없어,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
시간 있어?,지금 너랑 수다 떨 수 있어.,custom_smalltalk,what_doing
우울해,그런 날도 있어. 일단 숨 좀 돌려보자.,custom_smalltalk,mood_bad
운동해야 하나?,"지금 에너지가 있으면 운동, 쉬고 싶으면 영화도 괜찮아.",custom_smalltalk,hobby
그 사람이 자꾸 생각나,그 마음만으로도 하루가 달라질 때가 있지.,custom_smalltalk,love
오늘 별로야,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
뭐 재미있는 거 없을까?,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
나중에 이야기하자,편히 쉬어. 또 와줘.,custom_smalltalk,bye
잘 지냈나요?,나는 좋아. 너도 잘 지냈으면 좋겠다.,custom_smalltalk,how_are_you
결정 못 하겠어,급하지 않으면 조금 더 생각해봐도 괜찮아.,custom_smalltalk,choice
외로워,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
다음에 또 올게,오늘 이야기 즐거웠어.,custom_smalltalk,bye
반가워,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
일이 너무 많아,너무 부담되면 쉬운 것부터 처리해보자.,custom_smalltalk,study_work
너 누구야?,"나는 수다, 안부, 간단한 질문에 답하는 걸 목표로 하고 있어.",custom_smalltalk,self_intro
눈 왔어,그런 날씨면 기분도 조금 달라지지.,custom_smalltalk,weather
바이,수고했어. 다음에 또 보자.,custom_smalltalk,bye
그렇게 생각해?,네 입장에서는 충분히 그렇게 느낄 만해.,custom_smalltalk,agreement
일이 너무 많아,해야 할 게 많을수록 하나씩 쪼개는 게 좋아.,custom_smalltalk,study_work
시간 있어?,너랑 이야기하려고 기다리고 있었어.,custom_smalltalk,what_doing
수고해,다음에 봐. 기다리고 있을게.,custom_smalltalk,bye
괜찮아?,잘 지냈어. 물어봐줘서 고마워.,custom_smalltalk,how_are_you
이거 할까 말까?,가장 부담이 적은 선택부터 해보는 것도 좋아.,custom_smalltalk,choice
습해,습하면 더 지치니까 무리하지 마.,custom_smalltalk,weather
오늘 어때?,"응, 잘 지냈어. 너는 어떻게 지냈어?",custom_smalltalk,how_are_you
신난다,멋지다. 오늘의 기분을 마음껏 즐겨.,custom_smalltalk,mood_good
선택하기 어려워,네 상황을 조금 더 알려주면 같이 골라볼게.,custom_smalltalk,choice
일이 너무 많아,완벽하게 하려 하지 말고 시작부터 해보자.,custom_smalltalk,study_work
놀아줘,심심할 땐 아무 말 대잔치도 괜찮아.,custom_smalltalk,bored
너 뭐하는 애야?,나는 완벽하진 않지만 네 이야기를 들어줄 수 있어.,custom_smalltalk,self_intro
밤샜어,오늘은 무리하지 말고 몸을 먼저 챙기자.,custom_smalltalk,sleep
뭐가 나을까?,후회가 적을 선택을 기준으로 골라보자.,custom_smalltalk,choice
나랑 수다 떨자,그럼 나랑 잠깐 수다 떨자.,custom_smalltalk,bored
바람 많이 불어,날씨 좋은 날은 잠깐 산책해도 좋겠다.,custom_smalltalk,weather
반가워,반가워! 뭐든 편하게 말해도 돼.,custom_smalltalk,greeting
날씨 왜 이래,그런 날씨면 기분도 조금 달라지지.,custom_smalltalk,weather
야식 먹고 싶어,지금 기분에는 따뜻한 음식도 괜찮겠다.,custom_smalltalk,food
아,딱히 할 말이 없어도 괜찮아.,custom_smalltalk,fallback
울고 싶어,괜찮아. 천천히 말해줘. 내가 들어줄게.,custom_smalltalk,mood_bad
마음이 복잡해,그런 날도 있어. 일단 숨 좀 돌려보자.,custom_smalltalk,mood_bad
뭘 해야 할지 모르겠어,지금 네가 더 마음이 가는 쪽은 어느 쪽이야?,custom_smalltalk,choice
속상해,그랬구나. 오늘 많이 지쳤겠다.,custom_smalltalk,mood_bad
지금 뭐해?,좋아. 잠깐 같이 이야기하자.,custom_smalltalk,what_doing
오늘 좋은 일 있었어,그 기분 그대로 이어졌으면 좋겠다.,custom_smalltalk,mood_good
선택하기 어려워,가장 부담이 적은 선택부터 해보는 것도 좋아.,custom_smalltalk,choice
뭐가 나을까?,지금 네가 더 마음이 가는 쪽은 어느 쪽이야?,custom_smalltalk,choice
노래 듣고 싶어,새 취미는 부담 없이 짧게 해볼 수 있는 게 좋아.,custom_smalltalk,hobby
나 이번에 잘한 것 같아,잘했다고 말해주고 싶어. 수고했어.,custom_smalltalk,compliment_user
오늘 운이 좋았어,멋지다. 오늘의 기분을 마음껏 즐겨.,custom_smalltalk,mood_good
연애하고 싶어,썸 같으면 작은 관심들이 더 크게 느껴지지.,custom_smalltalk,love
기운이 없어,그랬구나. 오늘 많이 지쳤겠다.,custom_smalltalk,mood_bad
운동해야 하나?,게임도 좋지만 너무 오래 하진 말자.,custom_smalltalk,hobby
하이,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
배고파,밥은 잘 챙겨 먹어야 해. 오늘은 뭐 먹고 싶어?,custom_smalltalk,food
해야 할 게 많아,너무 부담되면 쉬운 것부터 처리해보자.,custom_smalltalk,study_work
어떻게 하지?,급하지 않으면 조금 더 생각해봐도 괜찮아.,custom_smalltalk,choice
어떻게 하지?,후회가 적을 선택을 기준으로 골라보자.,custom_smalltalk,choice
나랑 수다 떨자,그럼 우리 주제 하나 정해서 이야기해보자.,custom_smalltalk,bored
너무 심심해,그럼 가볍게 질문 하나 할게. 오늘 제일 좋았던 순간은 뭐야?,custom_smalltalk,bored
너무 추워,그런 날씨면 기분도 조금 달라지지.,custom_smalltalk,weather
바이,다음에 봐. 기다리고 있을게.,custom_smalltalk,bye
고맙다,천만에. 도움이 됐다면 다행이야.,custom_smalltalk,thanks
재밌는 얘기 해줘,좋아. 오늘 있었던 일부터 이야기해볼까?,custom_smalltalk,bored
뭐해?,대화할 준비 됐어. 무슨 이야기할까?,custom_smalltalk,what_doing
뭐 재미있는 거 없을까?,그럼 우리 주제 하나 정해서 이야기해보자.,custom_smalltalk,bored
칭찬 받고 싶어,그 정도면 충분히 멋진 일이야.,custom_smalltalk,compliment_user
하이,반가워! 뭐든 편하게 말해도 돼.,custom_smalltalk,greeting
귀찮아,완벽하게 하려 하지 말고 시작부터 해보자.,custom_smalltalk,study_work
심심해서 왔어,그럼 우리 주제 하나 정해서 이야기해보자.,custom_smalltalk,bored
귀찮아,일단 10분만 시작해보는 건 어때?,custom_smalltalk,study_work
그 사람이 자꾸 생각나,상대와 편하게 이야기할 기회를 만들어보자.,custom_smalltalk,love
울고 싶어,힘든 하루였구나. 여기서는 편하게 말해도 돼.,custom_smalltalk,mood_bad
바람 많이 불어,습하면 더 지치니까 무리하지 마.,custom_smalltalk,weather
외로워,그런 날도 있어. 일단 숨 좀 돌려보자.,custom_smalltalk,mood_bad
놀아줘,그럼 우리 주제 하나 정해서 이야기해보자.,custom_smalltalk,bored
너도 그렇게 봐?,네가 왜 그렇게 느꼈는지 알 것 같아.,custom_smalltalk,agreement
나 노력했어,대단하지. 노력한 만큼 의미 있는 결과야.,custom_smalltalk,compliment_user
나 오늘 열심히 했어,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
너무 더워,비 오는 날은 괜히 차분해지는 것 같아.,custom_smalltalk,weather
잘 있었어?,나는 괜찮아. 너는 요즘 어때?,custom_smalltalk,how_are_you
산책할까?,"지금 에너지가 있으면 운동, 쉬고 싶으면 영화도 괜찮아.",custom_smalltalk,hobby
뭘 해야 할지 모르겠어,가장 부담이 적은 선택부터 해보는 것도 좋아.,custom_smalltalk,choice
시간이 안 가,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
맞지?,나는 네 생각을 이해해.,custom_smalltalk,agreement
오늘 어때?,잘 지냈어. 물어봐줘서 고마워.,custom_smalltalk,how_are_you
오늘 하루 어땠어?,"응, 잘 지냈어. 너는 어떻게 지냈어?",custom_smalltalk,how_are_you
어때 보여?,"완전히 단정하긴 어렵지만, 네 말도 일리가 있어.",custom_smalltalk,agreement
신난다,그 기분 그대로 이어졌으면 좋겠다.,custom_smalltalk,mood_good
그렇지?,네가 왜 그렇게 느꼈는지 알 것 같아.,custom_smalltalk,agreement
비 와,눈 오는 날은 조심히 다녀야 해.,custom_smalltalk,weather
나 노력했어,잘했다고 말해주고 싶어. 수고했어.,custom_smalltalk,compliment_user
뭐 하고 있어?,대화할 준비 됐어. 무슨 이야기할까?,custom_smalltalk,what_doing
나 좀 대단하지?,잘했다고 말해주고 싶어. 수고했어.,custom_smalltalk,compliment_user
나랑 놀래?,너랑 이야기하려고 기다리고 있었어.,custom_smalltalk,what_doing
나랑 놀래?,지금 너랑 수다 떨 수 있어.,custom_smalltalk,what_doing
감사해,고마워. 나도 네 이야기를 들을 수 있어서 좋아.,custom_smalltalk,thanks
산책할까?,주말엔 쉬는 시간도 일정에 넣어보자.,custom_smalltalk,hobby
지루해,그럼 가볍게 질문 하나 할게. 오늘 제일 좋았던 순간은 뭐야?,custom_smalltalk,bored
잘 지냈나요?,"응, 잘 지냈어. 너는 어떻게 지냈어?",custom_smalltalk,how_are_you
데이트 뭐하지?,그 마음만으로도 하루가 달라질 때가 있지.,custom_smalltalk,love
고맙다,괜찮아. 필요하면 또 같이 생각해보자.,custom_smalltalk,thanks
잘 지냈니?,"응, 잘 지냈어. 너는 어떻게 지냈어?",custom_smalltalk,how_are_you
뭐하니?,바쁘지 않아. 편하게 말해줘.,custom_smalltalk,what_doing
오늘 뭐 먹을까?,오늘은 부담 없는 메뉴가 좋을 것 같아.,custom_smalltalk,food
오늘 뭐 먹을까?,커피도 좋지만 물도 같이 마셔줘.,custom_smalltalk,food
오늘 어때?,나는 준비 완료야. 네 이야기도 들려줘.,custom_smalltalk,how_are_you
왠지 기분이 좋아,뿌듯한 하루였구나. 고생했어.,custom_smalltalk,mood_good
자고 싶어,많이 피곤하겠다. 가능하면 잠깐이라도 쉬어.,custom_smalltalk,sleep
나랑 수다 떨자,좋아. 내가 들어줄게.,custom_smalltalk,bored
뭐 하고 놀까?,주말엔 쉬는 시간도 일정에 넣어보자.,custom_smalltalk,hobby
취미 추천해줘,"지금 에너지가 있으면 운동, 쉬고 싶으면 영화도 괜찮아.",custom_smalltalk,hobby
야 안녕,안녕. 오늘 하루는 어땠어?,custom_smalltalk,greeting
고백할까?,좋아하는 마음이 생겼구나. 그 사람의 어떤 점이 좋아?,custom_smalltalk,love
칭찬해줘,노력한 게 느껴져. 정말 잘했어.,custom_smalltalk,compliment_user
너무 추워,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
사람들이랑 어울리기 힘들어,바로 결론 내리기보다 네 마음을 먼저 정리해보자.,custom_smalltalk,relationship
너 좀 괜찮다,도움이 됐다니 기뻐.,custom_smalltalk,thanks
실수했어,미안하다고 느꼈다면 진심을 담아 말해보는 게 좋아.,custom_smalltalk,apology
잘가,좋아. 좋은 하루 보내.,custom_smalltalk,bye
이만 갈게,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
너무 더워,그런 날씨면 기분도 조금 달라지지.,custom_smalltalk,weather
커피 마실까?,너무 늦지 않았다면 간단히 먹는 것도 좋아.,custom_smalltalk,food
그렇게 생각해?,괜찮아 보여. 다만 조금 더 생각해봐도 좋겠어.,custom_smalltalk,agreement
실수했어,실수할 수 있어. 중요한 건 어떻게 수습하느냐야.,custom_smalltalk,apology
오늘 별로야,힘든 하루였구나. 여기서는 편하게 말해도 돼.,custom_smalltalk,mood_bad
요즘 어때?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
너도 그렇게 봐?,"완전히 단정하긴 어렵지만, 네 말도 일리가 있어.",custom_smalltalk,agreement
