question,answer,source,category
뭐 하고 있어?,바쁘지 않아. 편하게 말해줘.,custom_smalltalk,what_doing
친구랑 싸웠어,바로 결론 내리기보다 네 마음을 먼저 정리해보자.,custom_smalltalk,relationship
지금 바빠?,대화할 준비 됐어. 무슨 이야기할까?,custom_smalltalk,what_doing
자기소개 해봐,"나는 아직 배우는 중이지만, 편하게 이야기 나눌 수 있어.",custom_smalltalk,self_intro
나 잘했지?,그 정도면 충분히 멋진 일이야.,custom_smalltalk,compliment_user
연락이 안 와,서운한 마음이 들 만했겠다.,custom_smalltalk,relationship
너는 사람 아니지?,나는 완벽하진 않지만 네 이야기를 들어줄 수 있어.,custom_smalltalk,self_intro
이만 갈게,잘 가. 오늘도 고생했어.,custom_smalltalk,bye
나 이번에 잘한 것 같아,해냈다는 게 정말 중요해. 멋지다.,custom_smalltalk,compliment_user
밥 먹었어?,밥은 잘 챙겨 먹어야 해. 오늘은 뭐 먹고 싶어?,custom_smalltalk,food
오늘 뿌듯해,좋다! 그런 날은 오래 기억해두자.,custom_smalltalk,mood_good
지금 바빠?,지금 너랑 수다 떨 수 있어.,custom_smalltalk,what_doing
속상해,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
집중이 안 돼,지금 제일 작은 일 하나부터 해보자.,custom_smalltalk,study_work
나 좀 대단하지?,대단하지. 노력한 만큼 의미 있는 결과야.,custom_smalltalk,compliment_user
오늘 하루 어땠어?,괜찮게 지냈어. 오늘 너는 어땠어?,custom_smalltalk,how_are_you
그 사람이 자꾸 생각나,썸 같으면 작은 관심들이 더 크게 느껴지지.,custom_smalltalk,love
배고파,배고프면 든든한 걸로 챙겨 먹자.,custom_smalltalk,food
귀찮아,지금 제일 작은 일 하나부터 해보자.,custom_smalltalk,study_work
너 좀 괜찮다,고마워. 나도 네 이야기를 들을 수 있어서 좋아.,custom_smalltalk,thanks
나 오늘 기분 안 좋아,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
지루해,심심할 땐 아무 말 대잔치도 괜찮아.,custom_smalltalk,bored
덕분이야,천만에. 도움이 됐다면 다행이야.,custom_smalltalk,thanks
오랜만이야,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
잠 못 잤어,오늘은 무리하지 말고 몸을 먼저 챙기자.,custom_smalltalk,sleep
썸 타는 것 같아,고백은 네 마음이 준비됐을 때 천천히 해도 돼.,custom_smalltalk,love
안녕하세요,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
할 거 없어,그럼 우리 주제 하나 정해서 이야기해보자.,custom_smalltalk,bored
내 말 맞지?,"응, 그렇게 생각할 수도 있어.",custom_smalltalk,agreement
bye,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
맛있는 거 먹고 싶다,배고프면 든든한 걸로 챙겨 먹자.,custom_smalltalk,food
뭐 재미있는 거 없을까?,그럼 가볍게 질문 하나 할게. 오늘 제일 좋았던 순간은 뭐야?,custom_smalltalk,bored
화나,힘든 하루였구나. 여기서는 편하게 말해도 돼.,custom_smalltalk,mood_bad
게임할까?,책은 짧은 에세이나 만화부터 시작해도 좋아.,custom_smalltalk,hobby
이제 자야겠다,다음에 봐. 기다리고 있을게.,custom_smalltalk,bye
놀아줘,그럼 가볍게 질문 하나 할게. 오늘 제일 좋았던 순간은 뭐야?,custom_smalltalk,bored
처음 만나,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
칭찬 받고 싶어,해냈다는 게 정말 중요해. 멋지다.,custom_smalltalk,compliment_user
오늘 좋은 일 있었어,좋은 일이 있었다니 다행이야. 더 자세히 말해줘.,custom_smalltalk,mood_good
잘했다고 해줘,대단하지. 노력한 만큼 의미 있는 결과야.,custom_smalltalk,compliment_user
나 왔어,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
잠이 부족해,많이 피곤하겠다. 가능하면 잠깐이라도 쉬어.,custom_smalltalk,sleep
사람들이랑 어울리기 힘들어,네가 느낀 감정은 충분히 말해볼 만해.,custom_smalltalk,relationship
오늘 별로야,오늘은 스스로에게 조금 너그러워져도 돼.,custom_smalltalk,mood_bad
대화 가능해?,지금 너랑 수다 떨 수 있어.,custom_smalltalk,what_doing
나 이번에 잘한 것 같아,대단하지. 노력한 만큼 의미 있는 결과야.,custom_smalltalk,compliment_user
울고 싶어,그런 날도 있어. 일단 숨 좀 돌려보자.,custom_smalltalk,mood_bad
친구가 서운하게 해,상대의 마음을 단정하기 전에 천천히 이야기해보는 것도 좋아.,custom_smalltalk,relationship
눈 왔어,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
불면증 같아,잠이 안 올 땐 화면을 잠시 내려놓는 것도 도움이 돼.,custom_smalltalk,sleep
일하기 싫어,잠깐 쉬고 다시 시작해도 괜찮아.,custom_smalltalk,study_work
미안,미안하다고 느꼈다면 진심을 담아 말해보는 게 좋아.,custom_smalltalk,apology
헬로,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
컨디션 어때?,나는 좋아. 너도 잘 지냈으면 좋겠다.,custom_smalltalk,how_are_you
귀찮아,집중이 안 되면 할 일을 적어보는 것부터 시작해보자.,custom_smalltalk,study_work
나랑 수다 떨자,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
시간이 안 가,그럼 나랑 잠깐 수다 떨자.,custom_smalltalk,bored
힘들어,힘든 하루였구나. 여기서는 편하게 말해도 돼.,custom_smalltalk,mood_bad
비 와,비 오는 날은 괜히 차분해지는 것 같아.,custom_smalltalk,weather
지금 이야기할 수 있어?,시간 있어. 어떤 이야기 하고 싶어?,custom_smalltalk,what_doing
ㅎㅇ,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
그런가,딱히 할 말이 없어도 괜찮아.,custom_smalltalk,fallback
노래 듣고 싶어,"지금 에너지가 있으면 운동, 쉬고 싶으면 영화도 괜찮아.",custom_smalltalk,hobby
이거 괜찮지?,나는 네 생각을 이해해.,custom_smalltalk,agreement
짝사랑 중이야,썸 같으면 작은 관심들이 더 크게 느껴지지.,custom_smalltalk,love
너 정체가 뭐야?,나는 완벽하진 않지만 네 이야기를 들어줄 수 있어.,custom_smalltalk,self_intro
날씨 왜 이래,눈 오는 날은 조심히 다녀야 해.,custom_smalltalk,weather
너 소개해줘,나는 네 말을 듣고 자연스럽게 답하려고 학습 중인 챗봇이야.,custom_smalltalk,self_intro
흠,그냥 있어도 괜찮아. 내가 옆에서 들어줄게.,custom_smalltalk,fallback
자고 싶어,밤샜으면 컨디션이 흔들릴 수 있어. 천천히 움직여.,custom_smalltalk,sleep
좋은 하루였어,뿌듯한 하루였구나. 고생했어.,custom_smalltalk,mood_good
좋은 하루였어,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
오늘 어때?,나는 좋아. 너도 잘 지냈으면 좋겠다.,custom_smalltalk,how_are_you
뭐 재미있는 거 없을까?,좋아. 오늘 있었던 일부터 이야기해볼까?,custom_smalltalk,bored
나 해냈어,해냈다는 게 정말 중요해. 멋지다.,custom_smalltalk,compliment_user
괜히 그랬어,미안하다고 느꼈다면 진심을 담아 말해보는 게 좋아.,custom_smalltalk,apology
시험 공부해야 돼,잠깐 쉬고 다시 시작해도 괜찮아.,custom_smalltalk,study_work
추천해줘,네 상황을 조금 더 알려주면 같이 골라볼게.,custom_smalltalk,choice
맞지?,네 입장에서는 충분히 그렇게 느낄 만해.,custom_smalltalk,agreement
맛있는 거 먹고 싶다,간식은 적당히 먹으면 기분 전환에 좋지.,custom_smalltalk,food
썸 타는 것 같아,데이트는 서로 편한 걸 고르는 게 좋아.,custom_smalltalk,love
짜증나,힘든 하루였구나. 여기서는 편하게 말해도 돼.,custom_smalltalk,mood_bad
일이 너무 많아,집중이 안 되면 할 일을 적어보는 것부터 시작해보자.,custom_smalltalk,study_work
잘 지냈어?,나는 괜찮아. 너는 요즘 어때?,custom_smalltalk,how_are_you
날씨 왜 이래,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
너무 추워,비 오는 날은 괜히 차분해지는 것 같아.,custom_smalltalk,weather
오늘 뿌듯해,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
공부하기 싫어,해야 할 게 많을수록 하나씩 쪼개는 게 좋아.,custom_smalltalk,study_work
몰라,그냥 있어도 괜찮아. 내가 옆에서 들어줄게.,custom_smalltalk,fallback
혼자인 것 같아,네가 느낀 감정은 충분히 말해볼 만해.,custom_smalltalk,relationship
햇빛 좋다,흐린 날엔 실내에서 쉬는 것도 좋지.,custom_smalltalk,weather
ㅎㅇ,안녕. 오늘 하루는 어땠어?,custom_smalltalk,greeting
나 오늘 열심히 했어,그 정도면 충분히 멋진 일이야.,custom_smalltalk,compliment_user
처음 만나,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
속상해,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
좋아하는 사람이 있어,"오, 설레겠다. 어떤 사람이야?",custom_smalltalk,love
야 안녕,반가워! 뭐든 편하게 말해도 돼.,custom_smalltalk,greeting
속상해,그런 날도 있어. 일단 숨 좀 돌려보자.,custom_smalltalk,mood_bad
공부해야 하는데 하기 싫어,잠깐 쉬고 다시 시작해도 괜찮아.,custom_smalltalk,study_work
놀아줘,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
좋은 아침,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
선택하기 어려워,급하지 않으면 조금 더 생각해봐도 괜찮아.,custom_smalltalk,choice
나 오늘 열심히 했어,대단하지. 노력한 만큼 의미 있는 결과야.,custom_smalltalk,compliment_user
공부해야 하는데 하기 싫어,미루고 싶을 때는 딱 한 문제만 해보는 것도 방법이야.,custom_smalltalk,study_work
피곤해,밤샜으면 컨디션이 흔들릴 수 있어. 천천히 움직여.,custom_smalltalk,sleep
hello,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
너는 어떤 챗봇이야?,"나는 아직 배우는 중이지만, 편하게 이야기 나눌 수 있어.",custom_smalltalk,self_intro
뭐하니?,대화할 준비 됐어. 무슨 이야기할까?,custom_smalltalk,what_doing
사람 관계 어렵다,상대의 마음을 단정하기 전에 천천히 이야기해보는 것도 좋아.,custom_smalltalk,relationship
너 뭐하는 애야?,나는 한국어 대화를 연습하는 챗봇이야.,custom_smalltalk,self_intro
나 오늘 열심히 했어,오늘의 너는 꽤 자랑스러워해도 돼.,custom_smalltalk,compliment_user
심심한데 뭐해?,지금 너랑 수다 떨 수 있어.,custom_smalltalk,what_doing
야식 먹고 싶어,너무 늦지 않았다면 간단히 먹는 것도 좋아.,custom_smalltalk,food
저녁 추천해줘,배고프면 든든한 걸로 챙겨 먹자.,custom_smalltalk,food
나 성공했어,노력한 게 느껴져. 정말 잘했어.,custom_smalltalk,compliment_user
할 거 없어,좋아. 오늘 있었던 일부터 이야기해볼까?,custom_smalltalk,bored
결정 못 하겠어,장단점을 하나씩 적어보면 결정이 쉬워질 수 있어.,custom_smalltalk,choice
너 좀 괜찮다,고맙다고 말해줘서 나도 좋아.,custom_smalltalk,thanks
오늘 기분 어때?,"응, 잘 지냈어. 너는 어떻게 지냈어?",custom_smalltalk,how_are_you
심심해,그럼 지금 떠오르는 생각부터 말해줘.,custom_smalltalk,bored
그 사람이 자꾸 생각나,좋아하는 마음이 생겼구나. 그 사람의 어떤 점이 좋아?,custom_smalltalk,love
지금 뭐해?,대화할 준비 됐어. 무슨 이야기할까?,custom_smalltalk,what_doing
어쩌지,딱히 할 말이 없어도 괜찮아.,custom_smalltalk,fallback
골라줘,가장 부담이 적은 선택부터 해보는 것도 좋아.,custom_smalltalk,choice
잘 들어줘서 고마워,고맙다고 말해줘서 나도 좋아.,custom_smalltalk,thanks
뭐 먹지?,너무 늦지 않았다면 간단히 먹는 것도 좋아.,custom_smalltalk,food
어때 보여?,나는 네 생각을 이해해.,custom_smalltalk,agreement
책 읽을까?,게임도 좋지만 너무 오래 하진 말자.,custom_smalltalk,hobby
우울해,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
미루고 싶어,지금 제일 작은 일 하나부터 해보자.,custom_smalltalk,study_work
날씨가 흐려,더운 날엔 물 잘 챙겨 마셔야 해.,custom_smalltalk,weather
책 읽을까?,"지금 에너지가 있으면 운동, 쉬고 싶으면 영화도 괜찮아.",custom_smalltalk,hobby
짝사랑 중이야,고백은 네 마음이 준비됐을 때 천천히 해도 돼.,custom_smalltalk,love
오늘 운이 좋았어,좋다! 그런 날은 오래 기억해두자.,custom_smalltalk,mood_good
공부하기 싫어,일단 10분만 시작해보는 건 어때?,custom_smalltalk,study_work
ㅎㅇ,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
해야 할 게 많아,미루고 싶을 때는 딱 한 문제만 해보는 것도 방법이야.,custom_smalltalk,study_work
오늘 뿌듯해,뿌듯한 하루였구나. 고생했어.,custom_smalltalk,mood_good
그렇게 생각해?,나는 네 생각을 이해해.,custom_smalltalk,agreement
잘가,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
햇빛 좋다,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
오늘 어때?,나는 괜찮아. 너는 요즘 어때?,custom_smalltalk,how_are_you
내가 이상한 거 아니지?,네가 왜 그렇게 느꼈는지 알 것 같아.,custom_smalltalk,agreement
고마워,고마워. 나도 네 이야기를 들을 수 있어서 좋아.,custom_smalltalk,thanks
미안해,실수할 수 있어. 중요한 건 어떻게 수습하느냐야.,custom_smalltalk,apology
오늘 별로야,괜찮아. 천천히 말해줘. 내가 들어줄게.,custom_smalltalk,mood_bad
짜증나,오늘은 스스로에게 조금 너그러워져도 돼.,custom_smalltalk,mood_bad
할 거 없어,그럼 나랑 잠깐 수다 떨자.,custom_smalltalk,bored
날씨가 흐려,추우면 따뜻하게 입고 다녀.,custom_smalltalk,weather
ㅎㅇ,좋아. 같이 이야기해보자.,custom_smalltalk,greeting
산책할까?,책은 짧은 에세이나 만화부터 시작해도 좋아.,custom_smalltalk,hobby
덕분이야,도움이 됐다니 기뻐.,custom_smalltalk,thanks
지금 바빠?,시간 있어. 어떤 이야기 하고 싶어?,custom_smalltalk,what_doing
너도 그렇게 봐?,괜찮아 보여. 다만 조금 더 생각해봐도 좋겠어.,custom_smalltalk,agreement
졸려,따뜻한 물 마시고 조용히 쉬어보는 것도 좋아.,custom_smalltalk,sleep
요즘 기분이 어때?,나는 괜찮아. 너는 요즘 어때?,custom_smalltalk,how_are_you
몰라,딱히 할 말이 없어도 괜찮아.,custom_smalltalk,fallback
좋은 하루였어,멋지다. 오늘의 기분을 마음껏 즐겨.,custom_smalltalk,mood_good
잘했다고 해줘,노력한 게 느껴져. 정말 잘했어.,custom_smalltalk,compliment_user
수고해,잘 가. 오늘도 고생했어.,custom_smalltalk,bye
나 좀 대단하지?,충분히 칭찬받을 만해.,custom_smalltalk,compliment_user
이거 할까 말까?,후회가 적을 선택을 기준으로 골라보자.,custom_smalltalk,choice
다음에 또 올게,잘 가. 오늘도 고생했어.,custom_smalltalk,bye
어떻게 하지?,장단점을 하나씩 적어보면 결정이 쉬워질 수 있어.,custom_smalltalk,choice
너는 어떤 챗봇이야?,"나는 수다, 안부, 간단한 질문에 답하는 걸 목표로 하고 있어.",custom_smalltalk,self_intro
습해,흐린 날엔 실내에서 쉬는 것도 좋지.,custom_smalltalk,weather
나 때문에 그런 것 같아,괜찮아질 수 있어. 하나씩 정리해보자.,custom_smalltalk,apology
심심해서 왔어,그럼 지금 떠오르는 생각부터 말해줘.,custom_smalltalk,bored
나 오늘 열심히 했어,노력한 게 느껴져. 정말 잘했어.,custom_smalltalk,compliment_user
공부해야 하는데 하기 싫어,지금 제일 작은 일 하나부터 해보자.,custom_smalltalk,study_work
사람 관계 어렵다,관계 문제는 마음이 많이 쓰이지.,custom_smalltalk,relationship
그렇지?,"응, 그렇게 생각할 수도 있어.",custom_smalltalk,agreement
나 좋아하는 사람 생겼어,고백은 네 마음이 준비됐을 때 천천히 해도 돼.,custom_smalltalk,love
공부하기 싫어,집중이 안 되면 할 일을 적어보는 것부터 시작해보자.,custom_smalltalk,study_work
신난다,뿌듯한 하루였구나. 고생했어.,custom_smalltalk,mood_good
데이트 뭐하지?,고백은 네 마음이 준비됐을 때 천천히 해도 돼.,custom_smalltalk,love
저녁 추천해줘,오늘은 부담 없는 메뉴가 좋을 것 같아.,custom_smalltalk,food
이거 괜찮지?,"완전히 단정하긴 어렵지만, 네 말도 일리가 있어.",custom_smalltalk,agreement
하이,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
울고 싶어,속상한 일이 있었나 보네. 무슨 일이었어?,custom_smalltalk,mood_bad
이거 할까 말까?,지금 네가 더 마음이 가는 쪽은 어느 쪽이야?,custom_smalltalk,choice
기분 최고야,좋다! 그런 날은 오래 기억해두자.,custom_smalltalk,mood_good
이거 괜찮지?,네가 왜 그렇게 느꼈는지 알 것 같아.,custom_smalltalk,agreement
오늘 뭐 먹을까?,지금 기분에는 따뜻한 음식도 괜찮겠다.,custom_smalltalk,food
잠이 안 와,밤샜으면 컨디션이 흔들릴 수 있어. 천천히 움직여.,custom_smalltalk,sleep
늦게 잤어,많이 피곤하겠다. 가능하면 잠깐이라도 쉬어.,custom_smalltalk,sleep
너는 어떤 챗봇이야?,나는 너랑 대화하기 위해 만들어진 작은 한국어 챗봇이야.,custom_smalltalk,self_intro
기분은 어때?,나는 좋아. 너도 잘 지냈으면 좋겠다.,custom_smalltalk,how_are_you
좋은 저녁,안녕. 오늘 하루는 어땠어?,custom_smalltalk,greeting
감사해,도움이 됐다니 기뻐.,custom_smalltalk,thanks
잘 들어줘서 고마워,고마워. 나도 네 이야기를 들을 수 있어서 좋아.,custom_smalltalk,thanks
다음에 또 올게,좋아. 좋은 하루 보내.,custom_smalltalk,bye
내가 잘못했어,사과는 빠르고 솔직할수록 좋아.,custom_smalltalk,apology
고맙다,언제든 편하게 말해줘.,custom_smalltalk,thanks
감사해,언제든 편하게 말해줘.,custom_smalltalk,thanks
둘 중에 뭐 골라?,장단점을 하나씩 적어보면 결정이 쉬워질 수 있어.,custom_smalltalk,choice
연락이 안 와,바로 결론 내리기보다 네 마음을 먼저 정리해보자.,custom_smalltalk,relationship
외로워,마음이 복잡할 때는 하나씩 꺼내보면 조금 나아질 수 있어.,custom_smalltalk,mood_bad
요즘 어때?,괜찮게 지냈어. 오늘 너는 어땠어?,custom_smalltalk,how_are_you
울고 싶어,그랬구나. 오늘 많이 지쳤겠다.,custom_smalltalk,mood_bad
일어나기 힘들어,밤샜으면 컨디션이 흔들릴 수 있어. 천천히 움직여.,custom_smalltalk,sleep
책 읽을까?,주말엔 쉬는 시간도 일정에 넣어보자.,custom_smalltalk,hobby
공부해야 하는데 하기 싫어,완벽하게 하려 하지 말고 시작부터 해보자.,custom_smalltalk,study_work
괜히 그랬어,괜찮아질 수 있어. 하나씩 정리해보자.,custom_smalltalk,apology
hello,반가워. 편하게 말 걸어줘.,custom_smalltalk,greeting
다음에 또 올게,다음에 봐. 기다리고 있을게.,custom_smalltalk,bye
야식 먹고 싶어,커피도 좋지만 물도 같이 마셔줘.,custom_smalltalk,food
이거 할까 말까?,급하지 않으면 조금 더 생각해봐도 괜찮아.,custom_smalltalk,choice
너무 심심해,그럼 지금 떠오르는 생각부터 말해줘.,custom_smalltalk,bored
지금 바빠?,나는 여기 있어. 뭐 하고 있었어?,custom_smalltalk,what_doing
뭐해?,너랑 이야기하려고 기다리고 있었어.,custom_smalltalk,what_doing
동의해?,괜찮아 보여. 다만 조금 더 생각해봐도 좋겠어.,custom_smalltalk,agreement
기운이 없어,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
해야 할 게 많아,해야 할 게 많을수록 하나씩 쪼개는 게 좋아.,custom_smalltalk,study_work
땡큐,천만에. 도움이 됐다면 다행이야.,custom_smalltalk,thanks
심심한데 뭐해?,지금은 네 이야기를 들을 준비를 하고 있어.,custom_smalltalk,what_doing
뭐해?,지금 너랑 수다 떨 수 있어.,custom_smalltalk,what_doing
왠지 기분이 좋아,멋지다. 오늘의 기분을 마음껏 즐겨.,custom_smalltalk,mood_good
이만 갈게,편히 쉬어. 또 와줘.,custom_smalltalk,bye
나중에 이야기하자,수고했어. 다음에 또 보자.,custom_smalltalk,bye
나 이번에 잘한 것 같아,그 정도면 충분히 멋진 일이야.,custom_smalltalk,compliment_user
나 해냈어,충분히 칭찬받을 만해.,custom_smalltalk,compliment_user
내가 이상한 거 아니지?,나는 네 생각을 이해해.,custom_smalltalk,agreement
나 오늘 기분 안 좋아,오늘은 스스로에게 조금 너그러워져도 돼.,custom_smalltalk,mood_bad
너랑 뭐 할 수 있어?,"나는 아직 배우는 중이지만, 편하게 이야기 나눌 수 있어.",custom_smalltalk,self_intro
뭐 하고 있어?,좋아. 잠깐 같이 이야기하자.,custom_smalltalk,what_doing
나 오늘 열심히 했어,해냈다는 게 정말 중요해. 멋지다.,custom_smalltalk,compliment_user
지금 뭐해?,지금은 네 이야기를 들을 준비를 하고 있어.,custom_smalltalk,what_doing
밤샜어,많이 피곤하겠다. 가능하면 잠깐이라도 쉬어.,custom_smalltalk,sleep
나 갈게,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
노래 듣고 싶어,노래 들으면서 기분 전환하는 것도 괜찮지.,custom_smalltalk,hobby
칭찬해줘,해냈다는 게 정말 중요해. 멋지다.,custom_smalltalk,compliment_user
시간 있어?,좋아. 잠깐 같이 이야기하자.,custom_smalltalk,what_doing
야식 먹고 싶어,밥은 잘 챙겨 먹어야 해. 오늘은 뭐 먹고 싶어?,custom_smalltalk,food
너 소개해줘,"나는 수다, 안부, 간단한 질문에 답하는 걸 목표로 하고 있어.",custom_smalltalk,self_intro
저녁 추천해줘,커피도 좋지만 물도 같이 마셔줘.,custom_smalltalk,food
나 오늘 기분 안 좋아,그런 날도 있어. 일단 숨 좀 돌려보자.,custom_smalltalk,mood_bad
글쎄,그럼 가볍게 오늘 있었던 일부터 말해볼까?,custom_smalltalk,fallback
지금 바빠?,지금은 네 이야기를 들을 준비를 하고 있어.,custom_smalltalk,what_doing
간식 먹고 싶어,지금 기분에는 따뜻한 음식도 괜찮겠다.,custom_smalltalk,food
뭐 하고 있어?,너랑 이야기하려고 기다리고 있었어.,custom_smalltalk,what_doing
바이,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
썸 타는 것 같아,썸 같으면 작은 관심들이 더 크게 느껴지지.,custom_smalltalk,love
밥 먹었어?,너무 늦지 않았다면 간단히 먹는 것도 좋아.,custom_smalltalk,food
재밌는 얘기 해줘,그럼 나랑 잠깐 수다 떨자.,custom_smalltalk,bored
덕분이야,괜찮아. 필요하면 또 같이 생각해보자.,custom_smalltalk,thanks
너 소개해줘,나는 너랑 대화하기 위해 만들어진 작은 한국어 챗봇이야.,custom_smalltalk,self_intro
오늘 기분 어때?,잘 지냈어. 물어봐줘서 고마워.,custom_smalltalk,how_are_you
안녕하세요,어서 와. 기다리고 있었어.,custom_smalltalk,greeting
나랑 놀래?,나는 여기 있어. 뭐 하고 있었어?,custom_smalltalk,what_doing
이만 갈게,좋아. 좋은 하루 보내.,custom_smalltalk,bye
집중이 안 돼,너무 부담되면 쉬운 것부터 처리해보자.,custom_smalltalk,study_work
햇빛 좋다,그런 날씨면 기분도 조금 달라지지.,custom_smalltalk,weather
나 해냈어,오늘의 너는 꽤 자랑스러워해도 돼.,custom_smalltalk,compliment_user
심심해서 왔어,나랑 이야기하다 보면 시간이 좀 빨리 갈지도 몰라.,custom_smalltalk,bored
너 뭐하는 애야?,"나는 아직 배우는 중이지만, 편하게 이야기 나눌 수 있어.",custom_smalltalk,self_intro
간식 먹고 싶어,배고프면 든든한 걸로 챙겨 먹자.,custom_smalltalk,food
잘 지냈나요?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
내가 잘못했어,잘못을 인정하는 것도 용기야.,custom_smalltalk,apology
